,Time,Discharge
800,04-01-1980 ,2813.3990000000003
801,05-01-1980 ,2347.305
802,06-01-1980 ,1888.32
803,07-01-1980 ,1850.271
804,08-01-1980 ,1843.9820000000002
805,09-01-1980 ,1847.493
806,10-01-1980 ,1851.316
807,11-01-1980 ,1611.61
808,12-01-1980 ,1552.287
809,13-01-1980 ,1580.579
810,14-01-1980 ,1792.39
811,15-01-1980 ,1510.624
812,16-01-1980 ,1748.2079999999999
813,17-01-1980 ,1807.7720000000002
814,18-01-1980 ,1816.8020000000001
815,19-01-1980 ,1919.2320000000002
816,20-01-1980 ,1997.496
817,21-01-1980 ,2003.2620000000002
818,22-01-1980 ,2018.585
819,23-01-1980 ,2292.125
820,24-01-1980 ,2345.8089999999997
821,25-01-1980 ,2376.606
822,26-01-1980 ,2750.507
823,27-01-1980 ,2840.6820000000002
824,28-01-1980 ,2794.387
825,29-01-1980 ,2778.1240000000003
826,30-01-1980 ,2783.502
827,31-01-1980 ,2791.3990000000003
828,01-01-1981 ,1515.271
829,02-01-1981 ,1471.681
830,03-01-1981 ,1467.464
831,04-01-1981 ,1534.8629999999998
832,05-01-1981 ,1486.3310000000001
833,06-01-1981 ,1479.211
834,07-01-1981 ,1468.024
835,08-01-1981 ,893.4830000000001
836,09-01-1981 ,932.434
837,10-01-1981 ,1270.2730000000001
838,11-01-1981 ,1346.24
839,12-01-1981 ,1417.025
840,13-01-1981 ,1395.9660000000001
841,14-01-1981 ,1483.255
842,15-01-1981 ,1526.3329999999999
